Vancouver,2025-08-05 07:46:56,17.96,77,5.14
Kelowna,2025-08-05 07:46:56,18.96,63,0.75
Kamloops,2025-08-05 07:46:57,18.09,69,1.79
Calgary,2025-08-05 07:46:57,12.95,89,0.45
Edmonton,2025-08-05 07:46:57,14.4,89,0.89
Fort McMurray,2025-08-05 07:46:57,15.73,100,2.57
Saskatoon,2025-08-05 07:46:57,19.99,77,2.57
Regina,2025-08-05 07:46:58,17.92,94,5.66
Winnipeg,2025-08-05 07:46:58,18.77,81,5.66
Thunder Bay,2025-08-05 07:46:58,12.95,100,2.06
Ottawa,2025-08-05 07:46:58,15.29,83,3.6
Toronto,2025-08-05 07:46:58,20.31,77,4.63
Sudbury,2025-08-05 07:46:58,11.7,92,2.27
Montreal,2025-08-05 07:46:59,14.83,79,4.63
Quebec City,2025-08-05 07:46:59,12.97,81,3.09
Halifax,2025-08-05 07:46:59,17.52,86,1.54
Whitehorse,2025-08-05 07:46:59,12.94,80,3.09
Yellowknife,2025-08-05 07:46:59,17.29,82,3.09
Prince George,2025-08-05 07:46:59,10.69,76,0
Victoria,2025-08-05 07:46:59,15.17,78,11.83
Vancouver,2025-08-05 07:48:04,17.96,77,5.14
Kelowna,2025-08-05 07:48:04,18.96,63,0.75
Kamloops,2025-08-05 07:48:05,18.09,69,1.79
Calgary,2025-08-05 07:48:05,12.95,89,0.45
Edmonton,2025-08-05 07:48:05,14.4,89,0.89
Fort McMurray,2025-08-05 07:48:05,15.73,100,2.57
Saskatoon,2025-08-05 07:48:06,19.99,77,2.57
Regina,2025-08-05 07:48:06,17.92,94,5.66
Winnipeg,2025-08-05 07:48:06,18.77,81,5.66
Thunder Bay,2025-08-05 07:48:06,12.95,100,2.06
Ottawa,2025-08-05 07:48:06,15.29,83,3.6
Toronto,2025-08-05 07:48:06,20.31,77,4.63
Sudbury,2025-08-05 07:48:07,11.7,92,2.27
Montreal,2025-08-05 07:48:07,14.83,79,4.63
Quebec City,2025-08-05 07:48:07,12.97,81,3.09
Halifax,2025-08-05 07:48:07,17.52,86,1.54
Whitehorse,2025-08-05 07:48:07,12.94,80,3.09
Yellowknife,2025-08-05 07:48:07,17.29,82,3.09
Prince George,2025-08-05 07:48:07,10.69,76,0
Victoria,2025-08-05 07:48:08,15.17,78,11.83
Vancouver,2025-08-05 07:50:15,17.85,77,5.36
Kelowna,2025-08-05 07:50:15,18.96,63,0.75
Kamloops,2025-08-05 07:50:15,18.09,69,1.79
Calgary,2025-08-05 07:50:16,12.95,89,0.45
Edmonton,2025-08-05 07:50:16,14.4,89,0.89
Fort McMurray,2025-08-05 07:50:16,15.73,100,2.57
Saskatoon,2025-08-05 07:50:16,19.99,77,2.57
Regina,2025-08-05 07:50:16,17.92,94,5.66
Winnipeg,2025-08-05 07:50:17,18.77,81,5.66
Thunder Bay,2025-08-05 07:50:17,12.95,100,2.06
Ottawa,2025-08-05 07:50:17,15.29,83,3.6
Toronto,2025-08-05 07:50:17,20.31,77,4.63
Sudbury,2025-08-05 07:50:17,11.7,92,2.27
Montreal,2025-08-05 07:50:17,14.83,79,4.63
Quebec City,2025-08-05 07:50:17,12.97,81,3.09
Halifax,2025-08-05 07:50:18,17.52,86,1.54
Whitehorse,2025-08-05 07:50:18,12.94,80,3.09
Yellowknife,2025-08-05 07:50:18,17.29,82,3.09
Prince George,2025-08-05 07:50:18,10.69,76,0
Victoria,2025-08-05 07:50:18,15.17,78,11.83
Vancouver,2025-08-05 02:15:34,17.85,78,4.92
Kelowna,2025-08-05 02:15:34,17.85,65,0.75
Kamloops,2025-08-05 02:15:34,17.53,71,1.79
Calgary,2025-08-05 02:15:34,13.02,89,0.89
Edmonton,2025-08-05 02:15:34,14.72,90,1.34
Fort McMurray,2025-08-05 02:15:34,13.98,92,2.65
Saskatoon,2025-08-05 02:15:34,19.99,77,2.06
Regina,2025-08-05 02:15:34,17.77,93,5.36
Winnipeg,2025-08-05 02:15:34,18.58,83,5.36
Thunder Bay,2025-08-05 02:15:34,14.58,91,1.27
Ottawa,2025-08-05 02:15:34,15.33,84,2.66
Toronto,2025-08-05 02:15:34,20.45,79,4.63
Sudbury,2025-08-05 02:15:34,11.7,92,2.27
Montreal,2025-08-05 02:15:34,14.61,79,0.45
Quebec City,2025-08-05 02:15:34,11.78,90,0.89
Halifax,2025-08-05 02:15:34,17.66,85,0.89
Whitehorse,2025-08-05 02:15:34,12.64,79,2.68
Yellowknife,2025-08-05 02:15:34,16.83,98,3.19
Prince George,2025-08-05 02:15:34,14.23,64,1.04
Victoria,2025-08-05 02:15:34,15.22,79,3.09
